time,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,joint1,joint2,joint3,joint4,joint5,joint6
0.48,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0914122378633224,0.8233776888843963,-1.996637704431793,1.1646063810936302,1.090828079761102,0.00758382072285513
0.49,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.115327309316945,0.8197771726559726,-2.0172259925389446,1.1878446150470512,1.1147677549675437,0.008528814166787054
0.5,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1371399515688314,0.8166584710492494,-2.0390917999067524,1.2118704588863431,1.1366028781699324,0.009486738931668976
0.51,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.156830999700639,0.8136720630097205,-2.061333054801469,1.2351070437746299,1.1563771458398184,0.01135562495741364
0.52,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1748374900600038,0.8110702393610014,-2.084524148150358,1.2585134215477218,1.1744828932924092,0.013615758968472055
0.53,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1914057889269538,0.808990834614749,-2.108971500372752,1.2824853764613304,1.1911538197900917,0.016061391179691364
0.54,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2067089483468978,0.8075269488136426,-2.1348754117083453,1.3072136563361825,1.2065594471012793,0.01860954331249636
0.55,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2208851424965315,0.8067575937697724,-2.162404750709144,1.3328199859360612,1.220837051970397,0.021225472516396997
0.56,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2340511374904164,0.8067622891691517,-2.191733200562259,1.359410815382171,1.234103316149448,0.023894092952439605
0.57,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.246307893604424,0.807629439621634,-2.2230600952415873,1.3871010077124077,1.246459432530519,0.02660918458402215
0.58,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2577435796731906,0.8094628909941214,-2.256626724246173,1.4160273403738302,1.2579940087541601,0.029369524966427012
0.59,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2684356151050065,0.812388911272911,-2.2927337985728338,1.4463598483088431,1.2687851310224754,0.03217787627647088
0.6,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2784522462556187,0.8165651278893944,-2.3317639986010854,1.4783148469762317,1.2789020409037017,0.03504144040615849
0.61,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2784522462556187,0.8165651278893944,-2.3317639986010854,1.4783148469762317,1.2789020409037017,0.03504144040615849
0.62,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.262663611258102,0.831922682995714,-2.3569588291799164,1.4897958250214933,1.2634454265010906,0.031391064231260875
0.63,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.247887639028022,0.8439686276396685,-2.3726671153383796,1.4952812503908937,1.248754551974269,0.027882719842144292
0.64,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2331537807513346,0.8545123872840344,-2.3843560337415153,1.4980657671192192,1.2340553636149938,0.024644920672888086
0.65,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2181644737770532,0.864443157215031,-2.394570837018047,1.4998053079310303,1.2190959987781114,0.02161417750053984
0.66,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.2028246539514638,0.8741926559452954,-2.40450876126771,1.5013233741848444,1.2037893008327551,0.018715916596555384
0.67,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1871010314843837,0.8839736601472022,-2.4147503986091245,1.5030335495697145,1.1881018030568957,0.01590034202902409
0.68,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1709791871990924,0.8938958476927165,-2.425594389486286,1.5051514367230308,1.1720179210317627,0.013140044310046386
0.69,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1544505607920177,0.9040212387987901,-2.437211547835313,1.5077989747514198,1.155528275258019,0.010421897621327125
0.7,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.137508616957137,0.9143908294977784,-2.449716973119344,1.5110554802205949,1.13862590984034,0.007740839707238337
0.71,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.1182163034997905,0.9242183915928097,-2.459712299809283,1.5097218784714421,1.119322020429796,0.007015781100325541
0.72,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.097690269451177,0.9337071407775293,-2.4687842416681423,1.5068511739552461,1.0987657993252895,0.006994895483924133
0.73,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0763169735188995,0.9430993020527003,-2.477868840658088,1.5037287864528308,1.07735641424368,0.007202245073433516
0.74,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0542310156007066,0.9525690503720248,-2.4875128005085028,1.5009477728722838,1.0552335600851372,0.0074470854463805315
0.75,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0314793287709232,0.9622311752639306,-2.4980497920668245,1.4988157714036707,1.0324463413081577,0.0076452565959966145
0.76,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-1.0080791646239877,0.9721648284062736,-2.5097052083676235,1.4975186898907884,1.0090131537897844,0.0077540173494411585
0.77,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9840389070840431,0.9824319153772969,-2.5226555768607333,1.4971911639386644,0.9849432245585911,0.007747794147046907
0.78,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9593656980017735,0.9930889282197382,-2.5370621900220685,1.4979491468959698,0.9602444900520158,0.007608967490670852
0.79,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9340683451547732,1.0041943506706392,-2.553090883227729,1.499906228044973,0.9349265832560345,0.007324391741094083
0.8,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.9081585239391029,1.0158134736103055,-2.5709244931070385,1.5031824965645195,0.9090020629701442,0.006884232878444282
0.81,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8985141919787005,1.028721133032057,-2.5805748635546246,1.5027852083925552,0.8991593767993133,0.006121320442782017
0.82,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8940985937293591,1.041566947220814,-2.586347013855923,1.5001241335995645,0.894609021516768,0.0055286351247279845
0.83,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8914446706145795,1.0542839966507167,-2.5906354422598556,1.496448899560342,0.8918816215206081,0.0050996876298325285
0.84,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8893466167678435,1.0670681003414315,-2.5947482374048256,1.492552602042331,0.8897449487043955,0.004788838216021362
0.85,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8873609082411213,1.080117334539076,-2.599445721251346,1.488928872482872,0.887737905388526,0.004560894992567822
0.86,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8853129943981336,1.0935831771977782,-2.605198147262638,1.4858914577330897,0.8856768729903133,0.004393592486213076
0.87,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8831241031934978,1.1075751374558223,-2.612315886511953,1.4836477099776382,0.8834788488200711,0.004274590551388893
0.88,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8807483787748692,1.1221748118592043,-2.621021666627866,1.482343566864161,0.8810961574791432,0.004198686795237534
0.89,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8781493042811174,1.1374482185868455,-2.6314932314838044,1.4820912577904806,0.8784916343933856,0.004165952587758539
0.9,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8752902697460683,1.1534543676880529,-2.643888689786009,1.4829858932540823,0.8756286227703279,0.004180720513469043
0.91,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8720436387533539,1.1686331816030755,-2.6525680990632807,1.4771414805645227,0.8723972088116709,0.00488921042064806
0.92,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8683668067721159,1.1831432280813898,-2.6590577303904532,1.4684109291068073,0.8687512496659706,0.005964140339678184
0.93,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8641899578568628,1.197357051799726,-2.6646539067418322,1.4585416306186507,0.8646156654323764,0.007244689064432416
0.94,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.85941930565876,1.2116174300265223,-2.6703448450777816,1.4484677057948843,0.859892976567819,0.008647715985313564
0.95,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8539333604164997,1.2261950658500196,-2.6768641690400967,1.4387635744291247,0.8544592806109857,0.010125983725128632
0.96,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8475761190819251,1.2412953968214164,-2.6847574773647054,1.4298179084700704,0.8481569789996843,0.01165000635619134
0.97,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8401476031417263,1.25707374617685,-2.6944362985964183,1.4219094563484582,0.8407849610089313,0.013200051957406344
0.98,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8313919922966487,1.2736478410090144,-2.7062150586543714,1.415243844394069,0.8320864117580593,0.014762254090158213
0.99,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8209846645729806,1.2911038759492937,-2.720328620105361,1.40996927371156,0.8217354419127125,0.01632635430267343
1.0,0.0,0.0,0.002000001020021791,1.0,0.0,0.0,0.0,-0.8085225990418322,1.3094928399191563,-2.736924393935132,1.406173649490923,0.8093268369238787,0.0178840760701251
